,Indium Phosphide,Gallium Indium Arsenide Phosphide,Gallium Arsenide,Gallium Indium Arsenide,Indium Arsenide,Aluminium Arsenide,Aluminium(x) Gallium(1 - x) Arsenide (x < 0.45),Aluminium(x) Gallium(1 - x) Arsenide (x > 0.45),Gallium Phosphide,Gallium Indium Phosphide,Silicon,Germanium
Energy gap $E_{g}$,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",warlimontSpringerHandbookMaterials2018,NSMArchivePhysical,NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical","warlimontSpringerHandbookMaterials2018,NSMArchivePhysical"
Electron affinity $χ$,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical
Electron mobility $μ_{n}$,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",warlimontSpringerHandbookMaterials2018,NSMArchivePhysical,NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical","warlimontSpringerHandbookMaterials2018,NSMArchivePhysical"
Hole mobility $μ_{p}$,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",warlimontSpringerHandbookMaterials2018,NSMArchivePhysical,NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical","warlimontSpringerHandbookMaterials2018,NSMArchivePhysical"
Intrinsic carrier concentration $n_{i}$,NSMArchivePhysical,NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,N/A,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical","warlimontSpringerHandbookMaterials2018,NSMArchivePhysical"
Electron lifetime $τ_{n}$,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical
Hole lifetime $τ_{p}$,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical
(Static) relative permittivity $ε_{r}$,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",warlimontSpringerHandbookMaterials2018,NSMArchivePhysical,NSMArchivePhysical,"warlimontSpringerHandbookMaterials2018,NSMArchivePhysical",NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical
Surface recombination velocity $S_{p/n}$,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,N/A,NSMArchivePhysical,N/A,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical,NSMArchivePhysical
